dic_line	entry	headword	candidate_pos	candidate_lemma	evidence	confidence	word_csv_lemmas	lefff_analyses	reason
1002	addenda po:NOUN	addenda	NOUN	addendum	word.csv	high	addendum		word.csv has no self-lemma for this form and POS
1003	addenda/S. po:NOUN	addenda	NOUN	addendum	word.csv	high	addendum		word.csv has no self-lemma for this form and POS
1867	aïeux po:NOUN	aïeux	NOUN	aïeul	word.csv+Lefff 3.4	high	aïeul	aïeul:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
2892	amours po:NOUN	amours	NOUN	amour	word.csv+Lefff 3.4	high	amour	amour:fp|amour:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
3187	andalouse/S. po:NOUN po:ADJ	andalouse	NOUN	andalou	Lefff 3.4	high	andalouse	andalou:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
3187	andalouse/S. po:NOUN po:ADJ	andalouse	ADJ	andalou	word.csv+Lefff 3.4	high	andalou	andalou:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
6030	aulx po:NOUN	aulx	NOUN	ail	word.csv+Lefff 3.4	high	ail	ail:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
6092	australs po:ADJ	australs	ADJ	austral	word.csv+Lefff 3.4	high	austral	austral:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
8107	bêtasse/S. po:NOUN po:ADJ	bêtasse	NOUN	bêta	Lefff 3.4	medium	bêtasse	bêta:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
8107	bêtasse/S. po:NOUN po:ADJ	bêtasse	ADJ	bêta	Lefff 3.4	medium	bêtasse	bêta:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
8142	beurette/S. po:NOUN	beurette	NOUN	beur	Lefff 3.4	medium	beurette	beur:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
9311	bonshommes po:NOUN	bonshommes	NOUN	bonhomme	word.csv+Lefff 3.4	high	bonhomme	bonhomme:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
9368	boréals po:ADJ	boréals	ADJ	boréal	word.csv+Lefff 3.4	high	boréal	boréal:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
11521	canuse/S. po:NOUN	canuse	NOUN	canut	Lefff 3.4	high	canuse	canut:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
13965	chouchoute/S. po:NOUN	chouchoute	NOUN	chouchou	Lefff 3.4	high	chouchoute	chouchou:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
17434	cornière/S. po:ADJ	cornière	ADJ	cornier	word.csv+Lefff 3.4	high	cornier	cornier:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
19267	damoiselle/S. po:NOUN	damoiselle	NOUN	damoiseau	Lefff 3.4	medium	damoiselle	damoiseau:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
20956	délices po:NOUN	délices	NOUN	délice	word.csv+Lefff 3.4	high	délice	délice:fp|délice:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
24801	duals po:ADJ	duals	ADJ	dual	word.csv+Lefff 3.4	high	dual	dual:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
27663	enquêtrice/S. po:NOUN	enquêtrice	NOUN	enquêteur	Lefff 3.4	medium	enquêtrice	enquêteur:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
29055	esquimaude/S. po:NOUN po:ADJ	esquimaude	NOUN	esquimau	Lefff 3.4	high	esquimaude	esquimau:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
29055	esquimaude/S. po:NOUN po:ADJ	esquimaude	ADJ	esquimau	word.csv+Lefff 3.4	high	esquimau	esquimau:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
30257	expresse/S. po:ADJ	expresse	ADJ	exprès	Lefff 3.4	medium	expresse	exprès:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
30989	favorite/S. po:NOUN po:ADJ	favorite	ADJ	favori	word.csv+Lefff 3.4	high	favori	favori:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
31630	finaux po:ADJ	finaux	ADJ	final	word.csv+Lefff 3.4	high	final	final:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
32628	franche/S. po:ADJ	franche	ADJ	franc	word.csv+Lefff 3.4	high	franc	franc:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
32635	franc-maçonne/S. po:NOUN po:ADJ	franc-maçonne	ADJ	franc-maçon	Lefff 3.4	high	franc-maçonne	franc-maçon:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
32765	franque/S. po:NOUN po:ADJ	franque	NOUN	franc	Lefff 3.4	medium	franque	franc:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
32765	franque/S. po:NOUN po:ADJ	franque	ADJ	franc	Lefff 3.4	medium	franque	franc:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
34469	glacials po:ADJ	glacials	ADJ	glacial	word.csv+Lefff 3.4	high	glacial	glacial:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
36055	haïe po:VERB	haïe	VERB	haïr	word.csv+Lefff 3.4	high	haïr	haïr:Kfs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
36384	hautes-fidélités po:NOUN po:ADJ	hautes-fidélités	NOUN	haute-fidélité	Lefff 3.4	high	hautes-fidélités	haute-fidélité:fp	Lefff analyses this as an inflected form, not as a same-POS lemma
38341	idéals po:NOUN po:ADJ	idéals	ADJ	idéal	word.csv+Lefff 3.4	high	idéal	idéal:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
38379	ides po:NOUN	ides	NOUN	ide	Lefff 3.4	high	ide|ides	ide:mp	Lefff analyses this as an inflected form, not as a same-POS lemma
42110	jouvencelle/S. po:NOUN	jouvencelle	NOUN	jouvenceau	Lefff 3.4	medium	jouvencelle	jouvenceau:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
42837	laïque/S. po:NOUN po:ADJ	laïque	ADJ	laïc	Lefff 3.4	medium	laïque	laïc:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
44441	loupiotte/S. po:NOUN	loupiotte	NOUN	loupiot	Lefff 3.4	high	loupiotte	loupiot:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
45131	mairesse/S. po:NOUN	mairesse	NOUN	maire	Lefff 3.4	medium	mairesse	maire:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
46768	menstrues po:NOUN	menstrues	NOUN	menstrue	Lefff 3.4	high	menstrues	menstrue:fp	Lefff analyses this as an inflected form, not as a same-POS lemma
46940	mesdames po:NOUN	mesdames	NOUN	madame	word.csv+Lefff 3.4	medium	madame	madame:fp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
46941	mesdemoiselles po:NOUN	mesdemoiselles	NOUN	mademoiselle	word.csv+Lefff 3.4	medium	mademoiselle	mademoiselle:fp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
48633	morale/S. po:ADJ	morale	ADJ	moral	word.csv+Lefff 3.4	high	moral	moral:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
51017	nouvel po:ADJ	nouvel	ADJ	nouveau	word.csv+Lefff 3.4	high	nouveau	nouveau:ms	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
54084	pascaux po:ADJ	pascaux	ADJ	pascal	word.csv+Lefff 3.4	high	pascal	pascal:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
54470	peaux-rouges po:NOUN po:ADJ	peaux-rouges	NOUN	peau-rouge	Lefff 3.4	high	peaux-rouges	peau-rouge:mp	Lefff analyses this as an inflected form, not as a same-POS lemma
55476	petite-bourgeoise po:NOUN po:ADJ	petite-bourgeoise	NOUN	petit-bourgeois	Lefff 3.4	high	petite-bourgeoise	petit-bourgeois:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
55493	petits-bourgeois po:NOUN po:ADJ	petits-bourgeois	NOUN	petit-bourgeois	Lefff 3.4	high	petits-bourgeois	petit-bourgeois:mp	Lefff analyses this as an inflected form, not as a same-POS lemma
58420	pourvu po:VERB	pourvu	VERB	pourvoir	word.csv+Lefff 3.4	medium	pourvoir	pourvoir:Kms	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
58867	première-née po:NOUN po:ADJ	première-née	NOUN	premier-né	Lefff 3.4	medium	première-née	premier-né:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
58871	premiers-nés po:NOUN po:ADJ	premiers-nés	NOUN	premier-né	Lefff 3.4	high	premiers-nés	premier-né:mp	Lefff analyses this as an inflected form, not as a same-POS lemma
59258	primitive/S. po:ADJ	primitive	ADJ	primitif	word.csv+Lefff 3.4	high	primitif	primitif:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
60726	quakeresse/S. po:NOUN	quakeresse	NOUN	quaker	Lefff 3.4	medium	quakeresse	quaker:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
61979	ratte/S. po:NOUN	ratte	NOUN	rat	Lefff 3.4	high	ratte	rat:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
62963	réduit/S. po:NOUN po:ADJ po:VERB	réduit	VERB	réduire	word.csv+Lefff 3.4	high	réduire	réduire:Kms|réduire:P3s	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
65469	rigolote/S. po:NOUN po:ADJ	rigolote	NOUN	rigolo	Lefff 3.4	high	rigolote	rigolo:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
65469	rigolote/S. po:NOUN po:ADJ	rigolote	ADJ	rigolo	word.csv+Lefff 3.4	high	rigolo	rigolo:fs	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
67144	scampis po:NOUN	scampis	NOUN	scampi	word.csv+Lefff 3.4	high	scampi	scampi:mp	word.csv and Lefff analyse this as an inflected form, not as a same-POS lemma
67546	seconde po:NOUN	seconde	NOUN	second	word.csv	high	second		word.csv has no self-lemma for this form and POS
68938	sociaux-démocrates po:NOUN po:ADJ	sociaux-démocrates	NOUN	social-démocrate	Lefff 3.4	medium	sociaux-démocrates	social-démocrate:mp	Lefff analyses this as an inflected form, not as a same-POS lemma
69901	speakerine/S. po:NOUN	speakerine	NOUN	speaker	Lefff 3.4	medium	speakerine	speaker:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
72659	targuie po:NOUN po:ADJ	targuie	NOUN	targui	Lefff 3.4	high	targuie	targui:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
74713	toute-puissante po:NOUN po:ADJ	toute-puissante	ADJ	tout-puissant	Lefff 3.4	high	toute-puissante	tout-puissant:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
74890	traîtresse/S. po:NOUN po:ADJ	traîtresse	NOUN	traître	Lefff 3.4	medium	traîtresse	traître:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
76019	tsarine/S. po:NOUN	tsarine	NOUN	tsar	Lefff 3.4	medium	tsarine	tsar:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
76300	typesse/S. po:NOUN	typesse	NOUN	type	Lefff 3.4	medium	typesse	type:fs	Lefff analyses this as an inflected form, not as a same-POS lemma
