GRAPH;TAG ?;ORTH

&;;et
&c;;etc.
avr;;avril
cf;;cf.
Dr;SUB;docteur
déc;;décembre
dec;;décembre
et cætera;;et cetera
fev;;février
fév;;février
fevr;;février
févr;;février
juil;;juillet
juill;;juillet
Etat;;État
jan;;janvier
janv;;janvier
Mgr;SUB;monseigneur
Mlle;SUB;mademoiselle
mlle;SUB;mademoiselle
Mlles;SUB;mesdemoiselles
mlles;SUB;mesdemoiselles
Mme;SUB;madame
mme;SUB;madame
Mmes;SUB;mesdames
mmes;SUB;mesdames
oct;;octobre
nov;;novembre
sep;;septembre
sept;;septembre
Vve;SUB;veuve
vve;SUB;veuve


# variante graphique substituée par une forme orthographique standardisée
# sections : mots de la langue;; noms propres;; abréviations (?)

# ANCIENS FRANÇAIS

déja;;déjà
différens;;différents
espece;;espèce
françois;;français
maniere;;manière
quoi que;;quoique
tems;;temps

# NOMS PROPRES

Abencerrages;;Abencérages
Académus;;Académos
Achmadova;;Akhmatova
Adenez;;Adenet
Affschensbourg;;Aschaffenburg
Alcestes;;Alceste
Apelles;;Apelle
Aspasies;;Aspasie
Assouci;;Assoucy
Balachova;;Balachova
Balieff;;Baliev
Balke;;Balkh
Barneveldt;;Oldenbarnevelt
Bartholos;;Bartholo
Bedfort;;Bedford
Bobio;;Bobbio
Bois-Robert;;Boisrobert
Bouterweck;;Bouterwek
Brequigny;;Bréquigny
Budapesth;;Budapest
Buenos-Ayres;;Buenos Aires
Bukarest;;Bucarest
Camoëns;;Camoës
Casaubah;;Casbah
Champmathieu;;Champ-Mathieu
Champy;;Champi
Child Harold;;Childe-Harold
Childe Harold;;Childe-Harold
Cinires;;Cinire
Coïmbre;;Coimbra
Comène;;Comnène
Comines;;Commynes
Commines;;Commynes
Comynes;;Commynes
Corrége;;Corrège
Corynthienne;;Corinthienne
Créuse;;Créüse
Cufa;;Koufa
Czar;;Tsar
Daurat;;Dorat
Diaghilev;;Diaghilev
Dniéper;;Dniepr
Doubrovska;;Doubrovska
Dreyschok;;Dreyschock
Durer;;Dürer
Éginhart;;Éginhard
Egorova;;Egorova
Ericeira;;Menezes
Érinnyes;;Érinyes
Eryceira;;Menezes
Ésaïe;;Isaïe
Fénélon;;Fénelon
Fésoles;;Fiesole
Fœdorowna;;Fédorovna
Fokine;;Fokine
Foulcques;;Foulques
Fouquier-Tainville;;Fouquier-Tinville
Freyschütz;;Freischütz
Fulde;;Fulda
Gillenormand;;Gille Normand
Glazounoff;;Glazounov
Godounof;;Godounov
Godounoff;;Godounov
Goubio;;Gubbio
Goumilev;;Goumilev
Gral;;Graal
Grandisson;;Grandison
Griffin;;Vielé-Griffin
Guienne;;Guyenne
Guilhen;;Guillén
Guy-Mannering;;Guy Mannering
Guymond;;Guimond
# Hardi;;Hardy
Haute-Fort;;Hautefort
Helinant;;Hélinand
Heyermans;;Heijermans
Heyne;;Heine
Hok’saï;;Hokusai
Hokousai;;Hokusai
Hroswita;;Hrosvita
Hroswitha;;Hrosvita
Hroswithe;;Hrosvita
Hypatia;;Hypatie
Idzikovsky;;Idzikovski
Idzikowsky;;Idzikovski
Jacovleff;;Iakovlev
Jasons;;Jason
Jean de Mena;;Juan de Mena
Jena;;Iéna
Jéna;;Iéna
Jordano;;Giordano
Joukoff;;Joukov
Képler;;Kepler
Khèyam;;Khayyam
Khovanschtina;;Khovanchtchina
Koran;;Coran
Krüdner;;Krüdener
Kubelick;;Kubelik
Laferronnais;;La Ferronays
Lafeuillade;;La Feuillade
Landovska;;Landovska
Lapérouse;;La Pérouse
Lapeyrouse ;;La Pérouse
Larionoff;;Larionov
Laurent Valla;;Lorenzo Valla
Lauzanne;;Lausanne
ldzikovsky;;Idzikovski
Le Peletier;;Le Pelletier
Leipsick;;Leipzig
Lemière;;Le Mierre
Lemierre;;Le Mierre
Leonidoff;;Leonidov
Léonidoff;;Leonidov
Litz;;Listz
Loëve-Veimars;;Loève-Veimars
Loève-Veymars;;Loève-Veimars
Lulli;;Lully
Luzan;;Luzán
lvanoff;;Ivanov
Malaca;;Malacca
Malhouet;;Malouet
Malkovsky;;Malkovsky
Marcile;;Marsile
Mazoyer;;Mazoïer
Mécènes;;Mécène
Mendosa;;Mendoza
Mireio;;Miréio
Misantrope;;Misanthrope
Montchrétien;;Montchrestien
Monte-Christo;;Monte-Cristo
Moyen-Age;;Moyen Âge
Munster;;Münster
Murger;;Mürger
Napierkowska;;Napierkovska
Nemtchinova;;Nemtchinova
Nicolaeva;;Nicolaïeva
Niemtchinova;;Nemtchinova
Nijinska;;Nijinska
Nijinski;;Nijinski
Nijinsky;;Nijinski
Novikoff;;Novikov
Oghinska;;Oginska
Ormus;;Ormuz
Paderewsky;;Paderewski
Panza;;Pança
Pavlova;;Pavlova
Pawlova;;Pavlova
Pétrouchka;;Petrouchka
Philamintes;;Philaminte
Philelphe;;Filelfo
Pistoïa;;Pistoia
Pistoie;;Pistoia
Poliziano;;Politien
Polovtsiennes;;Polovtsiennes
Prokofieff;;Prokofiev
Prudhomme;;Sully-Prudhomme
Rimski-Korsakoff;;Rimski-Korsakov
Rimsky;;Rimski-Korsakov
Rimsky-Korsakoff;;Rimski-Korsakov
Rob-Roy;;Rob Roy
Rocroy;;Rocroi
Romanoff;;Romanov
Sakharoff;;Sakharov
Sakharoffs;;Sakharov
Santillane;;Santillana
Schéhérazade;;Shéhérazade
Schérer;;Scherer
Sénancour;;Senancour
Sénancourt;;Senancour
Sforce;;Sforza
shakspearien;;shakespearien
Shylok;;Shylock
Smolzoff;;Smolzov
Souwaroff;;Souvarov
St;;Saint
Stanislavsky;;Stanislavski
Ste;;Sainte
Stravinsky;;Stravinsky
Strawinsky;;Stravinsky
Sunium;;Sounion
Svirskaya;;Svirskaïa
Taïroff;;Tairov
Tartufe;;Tartuffe
Tchaikovsky;;Tchaïkovski
Tchaikowsky;;Tchaïkovski
Tchaïkowsky;;Tchaïkovski
Tchernicheva;;Tchernitcheva
Tchernitcheva;;Tchernitcheva
Thangs;;Tang
Thibet;;Tibet
Tokio;;Tokyo
Tréfilova;;Trefilova
Tzar;;Tsar
Velasquez;;Velázquez
Vélasquez;;Velázquez
Vévey;;Vevey
Viellé-Griffin;;Vielé-Griffin
Ville-Hardouin;;Villehardouin
Villeroi;;Villeroy
Vladimiroff;;Vladimirov
Warrens;;Warens
Wawerley;;Waverley
Weymar;;Weimar
Wilhem;;Wilhelm
Wishnou;;Vishnou
Wladislas;;Ladislas
Xantippe;;Xanthippe
Xercès;;Xerxès
Yurieva;;Iourieva
Zwéreff;;Zverev


# MOTS DE LA LANGUE
–;;—
accroche-coeur;;accroche-cœur
accroche-coeurs;;accroche-cœurs
âme-soeur;;âme-sœur
ann.;;annexe
arrête-boeuf;;arrête-bœuf
av.;;avant
avecque;;avec
avecques;;avec
voi;;vois
belle-soeur;;belle-sœur
belles-soeurs;;belles-sœurs
boeuf;;bœuf
boeuf;;bœuf
boeufs;;bœufs
chef-d'oeuvre;;chef-d'œuvre
chef-d'oeuvres;;chef-d'œuvres
chef-d’oeuvre;;chef-d’œuvre
chefs-d'oeuvre;;chefs-d'œuvre
choeur;;chœur
choeurs;;chœurs
choeurs;;chœurs
Christ;;Jésus-Christ
clin-d'oeil;;clin-d'œil
coeur;;cœur
coeur-poumons;;cœur-poumons
coeurs;;cœurs
consoeur;;consœur
consoeurs;;consœurs
contrecoeur;;contrecœur
demi-soeur;;demi-sœur
désoeuvre;;désœuvre
désoeuvré;;désœuvré
désoeuvré;;désœuvré
désoeuvré;;désœuvré
désoeuvrée;;désœuvrée
désoeuvrée;;désœuvrée
désoeuvrée;;désœuvrée
désoeuvrées;;désœuvrées
désoeuvrées;;désœuvrées
désoeuvrées;;désœuvrées
désoeuvrement;;désœuvrement
désoeuvrements;;désœuvrements
désoeuvrés;;désœuvrés
désoeuvrés;;désœuvrés
désoeuvrés;;désœuvrés
doncques;;donc
écoeura;;écœura
écoeuraient;;écœuraient
écoeurais;;écœurais
écoeurait;;écœurait
écoeurant;;écœurant
écoeurant;;écœurant
écoeurante;;écœurante
écoeurantes;;écœurantes
écoeurants;;écœurants
écoeure;;écœure
écoeuré;;écœuré
écoeuré;;écœuré
écoeurée;;écœurée
écoeurée;;écœurée
écoeurées;;écœurées
écoeurement;;écœurement
écoeurements;;écœurements
écoeurent;;écœurent
écoeurer;;écœurer
écoeurerais;;écœurerais
écoeurèrent;;écœurèrent
écoeurés;;écœurés
écoeurés;;écœurés
écoeurez;;écœurez
ed.;;édition
ed;;édition
éd.;;édition
encor;;encore
foetal;;fœtal
foetales;;fœtales
foetaux;;fœtaux
Haeckel;;Hæckel
haut-le-coeur;;haut-le-cœur
hélico;;hélicoptère
hors-d'oeuvre;;hors-d'œuvre
Jésus;;Jésus-Christ
joli-coeur;;joli-cœur
joli-coeur;;joli-cœur
main-d'oeuvre;;main-d'œuvre
maitre;;maître
manoeuvra;;manœuvra
manoeuvrabilité;;manœuvrabilité
manoeuvrable;;manœuvrable
manoeuvraient;;manœuvraient
manoeuvrais;;manœuvrais
manoeuvrait;;manœuvrait
manoeuvrant;;manœuvrant
manoeuvre;;manœuvre
manoeuvre;;manœuvre
manoeuvré;;manœuvré
manoeuvrée;;manœuvrée
manoeuvrées;;manœuvrées
manoeuvrent;;manœuvrent
manoeuvrer;;manœuvrer
manoeuvrèrent;;manœuvrèrent
manoeuvres;;manœuvres
manoeuvres;;manœuvres
manoeuvrés;;manœuvrés
manoeuvrez;;manœuvrez
manoeuvrier;;manœuvrier
manoeuvrière;;manœuvrière
manoeuvrière;;manœuvrière
manoeuvrières;;manœuvrières
manoeuvriers;;manœuvriers
manoeuvrons;;manœuvrons
moeur;;mœur
moeurs;;mœurs
noeud;;nœud
noeuds;;nœuds
oecuménique;;œcuménique
oecuméniques;;œcuméniques
oecuménisme;;œcuménisme
oedémateuse;;œdémateuse
oedème;;œdème
oedèmes;;œdèmes
oedipe;;œdipe
oedipien;;œdipien
oedipienne;;œdipienne
oeil;;œil
œil-de-boeuf;;œil-de-bœuf
oeillade;;œillade
oeillades;;œillades
oeillère;;œillère
oeillères;;œillères
oeillet;;œillet
oeilleton;;œilleton
oeilletons;;œilletons
oeillets;;œillets
oeillette;;œillette
oeils;;œils
œils-de-boeuf;;œils-de-bœuf
oeils-de-perdrix;;œils-de-perdrix
oenologie;;œnologie
oenologique;;œnologique
oenologues;;œnologues
oenophile;;œnophile
oenothère;;œnothère
oesophage;;œsophage
oesophages;;œsophages
oesophagien;;œsophagien
oesophagienne;;œsophagienne
oesophagiennes;;œsophagiennes
oestrogène;;œstrogène
oestrogène;;œstrogène
oestrogènes;;œstrogènes
oestrogènes;;œstrogènes
oeuf;;œuf
oeufs;;œufs
oeuvraient;;œuvraient
oeuvrait;;œuvrait
oeuvrant;;œuvrant
oeuvre;;œuvre
oeuvre;;œuvre
oeuvré;;œuvré
oeuvrent;;œuvrent
oeuvrer;;œuvrer
oeuvrera;;œuvrera
oeuvres;;œuvres
oeuvres;;œuvres
oeuvrette;;œuvrette
oeuvrettes;;œuvrettes
oeuvrez;;œuvrez
oeuvrions;;œuvrions
phoenix;;phœnix
pied-d'oeuvre;;pied-d'œuvre
pique-boeufs;;pique-bœufs
rancoeur;;rancœur
rancoeurs;;rancœurs
sizième;;sixième
sacré-coeur;;sacré-cœur
sans-coeur;;sans-cœur
soeur;;sœur
soeurette;;sœurette
soeurs;;sœurs
tape-à-l'oeil;;tape-à-l'œil
tape-à-l'oeil;;tape-à-l'œil
trompe-l'oeil;;trompe-l'œil
voeu;;vœu
voeux;;vœux

