GRAPH;CAT;ORTH;LEM
1 e;DETnum;1er;
1 er;DETnum;1er;
I e;DETnum;1er;
i e;DETnum;1er;
I er;DETnum;1er;
i er;DETnum;1er;
I e siècle;NAMEevent;1er siècle;
i e siècle;NAMEevent;1er siècle;
Ie siècle;NAMEevent;1er siècle;
ie siècle;NAMEevent;1er siècle;
iᵉ siècle;NAMEevent;1er siècle;
Iᵉ siècle;NAMEevent;1er siècle;
I er siècle;NAMEevent;1er siècle;
i er siècle;NAMEevent;1er siècle;
Ier siècle;NAMEevent;1er siècle;
ier siècle;NAMEevent;1er siècle;
premier siècle;NAMEevent;1er siècle;

2 e;DETnum;2e;
2 eme;DETnum;2e;
2 ème;DETnum;2e;
II e;DETnum;2e;
ii e;DETnum;2e;
II nd;DETnum;2e;
ii nd;DETnum;2e;
II e siècle;NAMEevent;2e siècle;
ii e siècle;NAMEevent;2e siècle;
IIe siècle;NAMEevent;2e siècle;
iie siècle;NAMEevent;2e siècle;
IIᵉ siècle;NAMEevent;2e siècle;
iiᵉ siècle;NAMEevent;2e siècle;
deuxième siècle;NAMEevent;2e siècle;

III e;DETnum;3e;
iii e;DETnum;3e;
III e siècle;NAMEevent;3e siècle;
iii e siècle;NAMEevent;3e siècle;
IIIe siècle;NAMEevent;3e siècle;
iiie siècle;NAMEevent;3e siècle;
IIIᵉ siècle;NAMEevent;3e siècle;
iiiᵉ siècle;NAMEevent;3e siècle;
troisième siècle;NAMEevent;3e siècle;

IV e;DETnum;4e;
iv e;DETnum;4e;
4e siècle;NAMEevent;4e siècle;
4 e siècle;NAMEevent;4e siècle;
IV e siècle;NAMEevent;4e siècle;
iv e siècle;NAMEevent;4e siècle;
IVe siècle;NAMEevent;4e siècle;
ive siècle;NAMEevent;4e siècle;
IVᵉ siècle;NAMEevent;4e siècle;
ivᵉ siècle;NAMEevent;4e siècle;
quatrième siècle;NAMEevent;4e siècle;

V e;DETnum;5e;
v e;DETnum;5e;
5e siècle;NAMEevent;5e siècle;
5 e siècle;NAMEevent;5e siècle;
V e siècle;NAMEevent;5e siècle;
v e siècle;NAMEevent;5e siècle;
Ve siècle;NAMEevent;5e siècle;
ve siècle;NAMEevent;5e siècle;
Vᵉ siècle;NAMEevent;5e siècle;
vᵉ siècle;NAMEevent;5e siècle;
cinquième siècle;NAMEevent;5e siècle;

VI e;DETnum;6e;
vi e;DETnum;6e;
6e siècle;NAMEevent;6e siècle;
6 e siècle;NAMEevent;6e siècle;
VI e siècle;NAMEevent;6e siècle;
vi e siècle;NAMEevent;6e siècle;
vie siècle;NAMEevent;6e siècle;
VIe siècle;NAMEevent;6e siècle;
viᵉ siècle;NAMEevent;6e siècle;
VIᵉ siècle;NAMEevent;6e siècle;
sixième siècle;NAMEevent;6e siècle;

VII e;DETnum;7e;
vii e;DETnum;7e;
VII e siècle;NAMEevent;7e siècle;
vii e siècle;NAMEevent;7e siècle;
viie siècle;NAMEevent;7e siècle;
VIIe siècle;NAMEevent;7e siècle;
viiᵉ siècle;NAMEevent;7e siècle;
VIIᵉ siècle;NAMEevent;7e siècle;
septième siècle;NAMEevent;7e siècle;

VIII e;DETnum;8e;
viii e;DETnum;8e;
8e siècle;NAMEevent;8e siècle;
8 e siècle;NAMEevent;8e siècle;
viii e siècle;NAMEevent;8e siècle;
VIII e siècle;NAMEevent;8e siècle;
viiie siècle;NAMEevent;8e siècle;
VIIIe siècle;NAMEevent;8e siècle;
viiiᵉ siècle;NAMEevent;8e siècle;
VIIIᵉ siècle;NAMEevent;8e siècle;
huitième siècle;NAMEevent;8e siècle;

ixe;DETnum;9e;
IXe;DETnum;9e;
ix e;DETnum;9e;
IX e;DETnum;9e;
9e siècle;NAMEevent;9e siècle;
9 e siècle;NAMEevent;9e siècle;
ix e siècle;NAMEevent;9e siècle;
IX e siècle;NAMEevent;9e siècle;
ixᵉ siècle;NAMEevent;9e siècle;
IXᵉ siècle;NAMEevent;9e siècle;
neuvième siècle;NAMEevent;9e siècle;

10 e;DETnum;10e;
X e;DETnum;10e;
x e;DETnum;10e;
10e siècle;NAMEevent;10e siècle;
10 e siècle;NAMEevent;10e siècle;
x e siècle;NAMEevent;10e siècle;
X e siècle;NAMEevent;10e siècle;
xe siècle;NAMEevent;10e siècle;
Xe siècle;NAMEevent;10e siècle;
xᵉ siècle;NAMEevent;10e siècle;
Xᵉ siècle;NAMEevent;10e siècle;
dixième siècle;NAMEevent;10e siècle;

11 e;DETnum;11e;
XI e;DETnum;11e;
xi e;DETnum;11e;
11 e siècle;NAMEevent;11e siècle;
11e siècle;NAMEevent;11e siècle;
xi e siècle;NAMEevent;11e siècle;
XI e siècle;NAMEevent;11e siècle;
xie siècle;NAMEevent;11e siècle;
XIe siècle;NAMEevent;11e siècle;
xiᵉ siècle;NAMEevent;11e siècle;
XIᵉ siècle;NAMEevent;11e siècle;
onzième siècle;NAMEevent;11e siècle;

12 e;DETnum;12e;
XIIe;DETnum;12e;
XII e;DETnum;12e;
xii e;DETnum;12e;
xiie;DETnum;12e;
12 e siècle;NAMEevent;12e siècle;
12e siècle;NAMEevent;12e siècle;
XII e siècle;NAMEevent;12e siècle;
XIIe siècle;NAMEevent;12e siècle;
xii e siècle;NAMEevent;12e siècle;
XII e siècle;NAMEevent;12e siècle;
xiie siècle;NAMEevent;12e siècle;
XIIe siècle;NAMEevent;12e siècle;
xiiᵉ siècle;NAMEevent;12e siècle;
XIIᵉ siècle;NAMEevent;12e siècle;
douzième siècle;NAMEevent;12e siècle;

13 e;DETnum;13e;
XIIIe;DETnum;13e;
xiiie;DETnum;;13e
XIII e;DETnum;13e;
xiii e;DETnum;;13e
13 e siècle;NAMEevent;13e siècle;
13e siècle;NAMEevent;13e siècle;
xiii e siècle;NAMEevent;13e siècle;
XIII e siècle;NAMEevent;13e siècle;
xiiie siècle;NAMEevent;13e siècle;
XIIIe siècle;NAMEevent;13e siècle;
xiiiᵉ siècle;NAMEevent;13e siècle;
XIIIᵉ siècle;NAMEevent;13e siècle;
treizième siècle;NAMEevent;13e siècle;

14 e;DETnum;14e;
XIV e;DETnum;14e;
xiv e;DETnum;14e;
14 e siècle;NAMEevent;14e siècle;
14e siècle;NAMEevent;14e siècle;
xivᵉ siècle;NAMEevent;14e siècle;
xiv e siècle;NAMEevent;14e siècle;
XIV e siècle;NAMEevent;14e siècle;
xive siècle;NAMEevent;14e siècle;
XIVe siècle;NAMEevent;14e siècle;
xivᵉ siècle;NAMEevent;14e siècle;
XIVᵉ siècle;NAMEevent;14e siècle;
quatorzième siècle;NAMEevent;14e siècle;

15 e;DETnum;15e;
XV e;DETnum;15e;
xv e;DETnum;15e;
15 e siècle;NAMEevent;15e siècle;
15e siècle;NAMEevent;15e siècle;
XV e siècle;NAMEevent;15e siècle;
xv e siècle;NAMEevent;15e siècle;
xve siècle;NAMEevent;15e siècle;
XVe siècle;NAMEevent;15e siècle;
xvᵉ siècle;NAMEevent;15e siècle;
XVᵉ siècle;NAMEevent;15e siècle;
quinzième siècle;NAMEevent;15e siècle;

16 e;DETnum;16e;
XVIe;DETnum;16e;
xvie;DETnum;16e;
XVI e;DETnum;16e;
xvi e;DETnum;16e;
16 e siècle;NAMEevent;16e siècle;
16e siècle;NAMEevent;16e siècle;
xvi e siècle;NAMEevent;16e siècle;
XVI e siècle;NAMEevent;16e siècle;
xvie siècle;NAMEevent;16e siècle;
XVIe siècle;NAMEevent;16e siècle;
xviᵉ siècle;NAMEevent;16e siècle;
XVIᵉ siècle;NAMEevent;16e siècle;
seizième siècle;NAMEevent;16e siècle;

17 e;DETnum;17e;
xvii e;DETnum;17e;
XVII e;DETnum;17e;
xviie;DETnum;17e;
XVII e;DETnum;17e;
17 e siècle;NAMEevent;17e siècle;
17e siècle;NAMEevent;17e siècle;
xvii e siècle;NAMEevent;17e siècle;
XVII e siècle;NAMEevent;17e siècle;
xviie siècle;NAMEevent;17e siècle;
XVIIe siècle;NAMEevent;17e siècle;
xviiᵉ siècle;NAMEevent;17e siècle;
XVIIᵉ siècle;NAMEevent;17e siècle;
dix-septième siècle;NAMEevent;17e siècle;

18 e;DETnum;18e;
XVIII e;DETnum;18e;
XVIIIe;DETnum;18e;
xviii e;DETnum;18e;
xviiie;DETnum;18e;
18 e siècle;NAMEevent;18e siècle;
18e siècle;NAMEevent;18e siècle;
xviii e siècle;NAMEevent;18e siècle;
XVIII e siècle;NAMEevent;18e siècle;
xviiie siècle;NAMEevent;18e siècle;
XVIIIe siècle;NAMEevent;18e siècle;
xviiiᵉ siècle;NAMEevent;18e siècle;
XVIIIᵉ siècle;NAMEevent;18e siècle;
dix-huitième siècle;NAMEevent;18e siècle;

19 e;DETnum;19e;
XIX e;DETnum;19e;
xix e;DETnum;19e;
xixe;DETnum;19e;
19 e siècle;NAMEevent;19e siècle;
19e siècle;NAMEevent;19e siècle;
xix e siècle;NAMEevent;19e siècle;
XIX e siècle;NAMEevent;19e siècle;
xixe siècle;NAMEevent;19e siècle;
XIXe siècle;NAMEevent;19e siècle;
xixᵉ siècle;NAMEevent;19e siècle;
XIXᵉ siècle;NAMEevent;19e siècle;
dix-neuvième siècle;NAMEevent;19e siècle;

20 e;DETnum;20e;
XX e;DETnum;20e;
xx e;DETnum;20e;
xxe;DETnum;20e;
20 e siècle;NAMEevent;20e siècle;
20e siècle;NAMEevent;20e siècle;
xx e siècle;NAMEevent;20e siècle;
XX e siècle;NAMEevent;20e siècle;
xxe siècle;NAMEevent;20e siècle;
XXe siècle;NAMEevent;20e siècle;
xxᵉ siècle;NAMEevent;20e siècle;
XXᵉ siècle;NAMEevent;20e siècle;
vingtième siècle;NAMEevent;20e siècle;

21 e;DETnum;21e;
XXI e;DETnum;21e;
xxi e;DETnum;21e;
21 e siècle;NAMEevent;21e siècle;
21e siècle;NAMEevent;21e siècle;
xxi e siècle;NAMEevent;21e siècle;
XXI e siècle;NAMEevent;21e siècle;
xxie siècle;NAMEevent;21e siècle;
XXIe siècle;NAMEevent;21e siècle;
xxiᵉ siècle;NAMEevent;21e siècle;
XXIᵉ siècle;NAMEevent;21e siècle;
vingt-et-unième siècle;NAMEevent;21e siècle;

XXII e;DETnum;;
xxii e;DETnum;;
XXIII e;DETnum;;
xxiii e;DETnum;;
XXIV e;DETnum;;
xxiv e;DETnum;;
XXIX e;DETnum;;
xxix e;DETnum;;
XXV e;DETnum;;
xxv e;DETnum;;
XXVI e;DETnum;;
xxvi e;DETnum;;
XXVII e;DETnum;;
xxvii e;DETnum;;
XXVIII e;DETnum;;
xxviii e;DETnum;;
XXX e;DETnum;;
xxx e;DETnum;;
