GRAPH;ORTH
–;—
&;et
&c;etc.
Abencerrages;Abencérages
Académus;Académos
accroche-coeur;accroche-cœur
accroche-coeurs;accroche-cœurs
Achmadova;Akhmatova
Adenez;Adenet
Affschensbourg;Aschaffenburg
ah;ha
Alcestes;Alceste
âme-soeur;âme-sœur
ann.;annexe
Apelles;Apelle
arrête-boeuf;arrête-bœuf
Aspasies;Aspasie
Assouci;Assoucy
av.;avant
avecque;avec
avecques;avec
avr;avril
Balachova;Balachova
Balieff;Baliev
Balke;Balkh
Barneveldt;Oldenbarnevelt
Bartholos;Bartholo
Bedfort;Bedford
belle-soeur;belle-sœur
belles-soeurs;belles-sœurs
Bobio;Bobbio
boeuf;bœuf
boeuf;bœuf
boeufs;bœufs
Bois-Robert;Boisrobert
Bouterweck;Bouterwek
Brequigny;Bréquigny
Budapesth;Budapest
Buenos-Ayres;Buenos Aires
Bukarest;Bucarest
Camoëns;Camoës
Casaubah;Casbah
cf;cf.
Champy;Champi
chef-d'oeuvre;chef-d'œuvre
chef-d'oeuvres;chef-d'œuvres
chef-d’oeuvre;chef-d’œuvre
chefs-d'oeuvre;chefs-d'œuvre
Child Harold;Childe-Harold
Childe Harold;Childe-Harold
choeur;chœur
choeurs;chœurs
choeurs;chœurs
Christ;Jésus-Christ
Cinires;Cinire
clin-d'oeil;clin-d'œil
coeur;cœur
coeur-poumons;cœur-poumons
coeurs;cœurs
Coïmbre;Coimbra
Comène;Comnène
Comines;Commynes
Commines;Commynes
Comynes;Commynes
consoeur;consœur
consoeurs;consœurs
contrecoeur;contrecœur
Corrége;Corrège
Corynthienne;Corinthienne
Créuse;Créüse
Cufa;Koufa
Czar;Tsar
Daurat;Dorat
dec;décembre
déc;décembre
déja;déjà
demi-soeur;demi-sœur
désoeuvre;désœuvre
désoeuvré;désœuvré
désoeuvré;désœuvré
désoeuvré;désœuvré
désoeuvrée;désœuvrée
désoeuvrée;désœuvrée
désoeuvrée;désœuvrée
désoeuvrées;désœuvrées
désoeuvrées;désœuvrées
désoeuvrées;désœuvrées
désoeuvrement;désœuvrement
désoeuvrements;désœuvrements
désoeuvrés;désœuvrés
désoeuvrés;désœuvrés
désoeuvrés;désœuvrés
Diaghilev;Diaghilev
différens;différents
Dniéper;Dniepr
doncques;donc
Doubrovska;Doubrovska
Dr;docteur
Dreyschok;Dreyschock
Durer;Dürer
écoeura;écœura
écoeuraient;écœuraient
écoeurais;écœurais
écoeurait;écœurait
écoeurant;écœurant
écoeurant;écœurant
écoeurante;écœurante
écoeurantes;écœurantes
écoeurants;écœurants
écoeure;écœure
écoeuré;écœuré
écoeuré;écœuré
écoeurée;écœurée
écoeurée;écœurée
écoeurées;écœurées
écoeurement;écœurement
écoeurements;écœurements
écoeurent;écœurent
écoeurer;écœurer
écoeurerais;écœurerais
écoeurèrent;écœurèrent
écoeurés;écœurés
écoeurés;écœurés
écoeurez;écœurez
ed;édition
ed.;édition
éd.;édition
Éginhart;Éginhard
Egorova;Egorova
eh;hé
éh;hé
encor;encore
Ericeira;Menezes
Érinnyes;Érinyes
Eryceira;Menezes
Ésaïe;Isaïe
espece;espèce
et cætera;et cetera
Fénélon;Fénelon
Fésoles;Fiesole
fev;février
fév;février
fevr;février
févr;février
Fœdorowna;Fédorovna
foetal;fœtal
foetales;fœtales
foetaux;fœtaux
Fokine;Fokine
Foulcques;Foulques
Fouquier-Tainville;Fouquier-Tinville
françois;français
Freyschütz;Freischütz
Fulde;Fulda
Gillenormand;Gille Normand
Glazounoff;Glazounov
Godounof;Godounov
Godounoff;Godounov
Goubio;Gubbio
Goumilev;Goumilev
Gral;Graal
Grandisson;Grandison
Griffin;Vielé-Griffin
Guienne;Guyenne
Guilhen;Guillén
Guy-Mannering;Guy Mannering
Guymond;Guimond
Haeckel;Hæckel
haut-le-coeur;haut-le-cœur
Haute-Fort;Hautefort
hélico;hélicoptère
Helinant;Hélinand
Heyermans;Heijermans
Heyne;Heine
Hok’saï;Hokusai
Hokousai;Hokusai
hors-d'oeuvre;hors-d'œuvre
Hroswita;Hrosvita
Hroswitha;Hrosvita
Hroswithe;Hrosvita
Hypatia;Hypatie
Idzikovsky;Idzikovski
Idzikowsky;Idzikovski
ih;hi
Jacovleff;Iakovlev
jan;janvier
janv;janvier
Jasons;Jason
Jean de Mena;Juan de Mena
Jena;Iéna
Jéna;Iéna
Jésus;Jésus-Christ
joli-coeur;joli-cœur
joli-coeur;joli-cœur
Jordano;Giordano
Joukoff;Joukov
juil;juillet
juill;juillet
Képler;Kepler
Khèyam;Khayyam
Khovanschtina;Khovanchtchina
Koran;Coran
Krüdner;Krüdener
Kubelick;Kubelik
Laferronnais;La Ferronays
Lafeuillade;La Feuillade
Landovska;Landovska
Lapérouse;La Pérouse
Lapeyrouse ;La Pérouse
Larionoff;Larionov
Laurent Valla;Lorenzo Valla
Lauzanne;Lausanne
ldzikovsky;Idzikovski
Le Peletier;Le Pelletier
Leipsick;Leipzig
Lemière;Le Mierre
Lemierre;Le Mierre
Leonidoff;Leonidov
Léonidoff;Leonidov
Litz;Listz
Loëve-Veimars;Loève-Veimars
Loève-Veymars;Loève-Veimars
Lulli;Lully
Luzan;Luzán
lvanoff;Ivanov
main-d'oeuvre;main-d'œuvre
maitre;maître
Malaca;Malacca
Malhouet;Malouet
Malkovsky;Malkovsky
maniere;manière
manoeuvra;manœuvra
manoeuvrabilité;manœuvrabilité
manoeuvrable;manœuvrable
manoeuvraient;manœuvraient
manoeuvrais;manœuvrais
manoeuvrait;manœuvrait
manoeuvrant;manœuvrant
manoeuvre;manœuvre
manoeuvre;manœuvre
manoeuvré;manœuvré
manoeuvrée;manœuvrée
manoeuvrées;manœuvrées
manoeuvrent;manœuvrent
manoeuvrer;manœuvrer
manoeuvrèrent;manœuvrèrent
manoeuvres;manœuvres
manoeuvres;manœuvres
manoeuvrés;manœuvrés
manoeuvrez;manœuvrez
manoeuvrier;manœuvrier
manoeuvrière;manœuvrière
manoeuvrière;manœuvrière
manoeuvrières;manœuvrières
manoeuvriers;manœuvriers
manoeuvrons;manœuvrons
Marcile;Marsile
Mazoyer;Mazoïer
Mécènes;Mécène
Mendosa;Mendoza
Mgr;monseigneur
Mireio;Miréio
Misantrope;Misanthrope
Mlle;mademoiselle
mlle;mademoiselle
Mlles;mesdemoiselles
mlles;mesdemoiselles
Mme;madame
mme;madame
Mmes;mesdames
mmes;mesdames
moeur;mœur
moeurs;mœurs
Montchrétien;Montchrestien
Monte-Christo;Monte-Cristo
Moyen-Age;Moyen Âge
Mr;monsieur
mr;monsieur
Mrs;messieurs
mrs;messieurs
Munster;Münster
Murger;Mürger
Napierkowska;Napierkovska
Nemtchinova;Nemtchinova
Nicolaeva;Nicolaïeva
Niemtchinova;Nemtchinova
Nijinska;Nijinska
Nijinski;Nijinski
Nijinsky;Nijinski
noeud;nœud
noeuds;nœuds
nov;novembre
Novikoff;Novikov
oct;octobre
oecuménique;œcuménique
oecuméniques;œcuméniques
oecuménisme;œcuménisme
oedémateuse;œdémateuse
oedème;œdème
oedèmes;œdèmes
oedipe;œdipe
oedipien;œdipien
oedipienne;œdipienne
oeil;œil
œil-de-boeuf;œil-de-bœuf
oeillade;œillade
oeillades;œillades
oeillère;œillère
oeillères;œillères
oeillet;œillet
oeilleton;œilleton
oeilletons;œilletons
oeillets;œillets
oeillette;œillette
oeils;œils
œils-de-boeuf;œils-de-bœuf
oeils-de-perdrix;œils-de-perdrix
oenologie;œnologie
oenologique;œnologique
oenologues;œnologues
oenophile;œnophile
oenothère;œnothère
oesophage;œsophage
oesophages;œsophages
oesophagien;œsophagien
oesophagienne;œsophagienne
oesophagiennes;œsophagiennes
oestrogène;œstrogène
oestrogène;œstrogène
oestrogènes;œstrogènes
oestrogènes;œstrogènes
oeuf;œuf
oeufs;œufs
oeuvraient;œuvraient
oeuvrait;œuvrait
oeuvrant;œuvrant
oeuvre;œuvre
oeuvre;œuvre
oeuvré;œuvré
oeuvrent;œuvrent
oeuvrer;œuvrer
oeuvrera;œuvrera
oeuvres;œuvres
oeuvres;œuvres
oeuvrette;œuvrette
oeuvrettes;œuvrettes
oeuvrez;œuvrez
oeuvrions;œuvrions
Oghinska;Oginska
oh;ho
Ormus;Ormuz
P.S;post-scriptum
Paderewsky;Paderewski
Panza;Pança
Pavlova;Pavlova
Pawlova;Pavlova
Pétrouchka;Petrouchka
Philamintes;Philaminte
Philelphe;Filelfo
phoenix;phœnix
pied-d'oeuvre;pied-d'œuvre
pique-boeufs;pique-bœufs
Pistoïa;Pistoia
Pistoie;Pistoia
Poliziano;Politien
Polovtsiennes;Polovtsiennes
Prokofieff;Prokofiev
Prudhomme;Sully-Prudhomme
rancoeur;rancœur
rancoeurs;rancœurs
Rimski-Korsakoff;Rimski-Korsakov
Rimsky;Rimski-Korsakov
Rimsky-Korsakoff;Rimski-Korsakov
Rob-Roy;Rob Roy
Rocroy;Rocroi
Romanoff;Romanov
roy;roi
sacré-coeur;sacré-cœur
Sakharoff;Sakharov
Sakharoffs;Sakharov
sans-coeur;sans-cœur
Santillane;Santillana
Schéhérazade;Shéhérazade
Schérer;Scherer
Sénancour;Senancour
Sénancourt;Senancour
sep;septembre
sept;septembre
Sforce;Sforza
shakspearien;shakespearien
Shylok;Shylock
sizième;sixième
Smolzoff;Smolzov
soeur;sœur
soeurette;sœurette
soeurs;sœurs
Souwaroff;Souvarov
St;Saint
Stanislavsky;Stanislavski
Ste;Sainte
Stravinsky;Stravinsky
Strawinsky;Stravinsky
Sunium;Sounion
Svirskaya;Svirskaïa
Taïroff;Tairov
tape-à-l'oeil;tape-à-l'œil
tape-à-l'oeil;tape-à-l'œil
Tartufe;Tartuffe
Tchaikovsky;Tchaïkovski
Tchaikowsky;Tchaïkovski
Tchaïkowsky;Tchaïkovski
Tchernicheva;Tchernitcheva
Tchernitcheva;Tchernitcheva
tems;temps
Thangs;Tang
Thibet;Tibet
Tokio;Tokyo
Tréfilova;Trefilova
trompe-l'oeil;trompe-l'œil
Tzar;Tsar
Velasquez;Velázquez
Vélasquez;Velázquez
Vévey;Vevey
Viellé-Griffin;Vielé-Griffin
Ville-Hardouin;Villehardouin
Villeroi;Villeroy
Vladimiroff;Vladimirov
voeu;vœu
voeux;vœux
voi;vois
Vve;veuve
vve;veuve
Warrens;Warens
Wawerley;Waverley
Weymar;Weimar
Wilhem;Wilhelm
Wishnou;Vishnou
Wladislas;Ladislas
Xantippe;Xanthippe
Xercès;Xerxès
Yurieva;Iourieva
Zwéreff;Zverev
